num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 283.203µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |   valid |     ret |    call |
 99 |     123 |     132 |     107 |     184 |      75 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
100 |     123 |      75 |     107 |      76 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
101 |     123 |      76 |     107 |     105 |     106 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
102 |     123 |     106 |     107 |      42 |     131 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
103 |     123 |      42 |     131 |      43 |      44 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
104 |     123 |      43 |     131 |      33 |      68 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
105 |     123 |      33 |      68 |      34 |      35 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
106 |     123 |      34 |      68 |      67 |      68 |      69 |       0 |       0 |       0 |       1 |       0 |       0 |
107 |     123 |      68 |     131 |     142 |     131 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
108 |     123 |     131 |     107 |     232 |     233 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
109 |     123 |     233 |     107 |     232 |     130 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
110 |     123 |     130 |     107 |     143 |     144 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
111 |     123 |     144 |     107 |     147 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
112 |     123 |     147 |     107 |     149 |     150 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
113 |     123 |     150 |     107 |     149 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
114 |     123 |     148 |     107 |     151 |     152 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
115 |     123 |     152 |     107 |     157 |     158 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
116 |     123 |     158 |     107 |     163 |     164 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
117 |     123 |     164 |     107 |     174 |     175 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
118 |     123 |     174 |     107 |     169 |     181 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
119 |     123 |     181 |     107 |      39 |     124 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
120 |     123 |      39 |     124 |      40 |      41 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
121 |     123 |      41 |     124 |      73 |      74 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
122 |     123 |      74 |     124 |     126 |     127 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
123 |     123 |     127 |     124 |     128 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
124 |     123 |     128 |     124 |     140 |     141 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
125 |     123 |     141 |     124 |     139 |     124 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
126 |     123 |     124 |     107 |      78 |     197 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
127 |     123 |     197 |     107 |     177 |     184 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
128 |     123 |     184 |     107 |      75 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
129 |     123 |      75 |     107 |      76 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
130 |     123 |      76 |     107 |     105 |     106 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
131 |     123 |     106 |     107 |      42 |     131 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
132 |     123 |      42 |     131 |      43 |      44 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
133 |     123 |      43 |     131 |      33 |      68 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
134 |     123 |      33 |      68 |      34 |      35 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
135 |     123 |      34 |      68 |      67 |      68 |      69 |       0 |       0 |       0 |       1 |       0 |       0 |
136 |     123 |      68 |     131 |     142 |     131 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
137 |     123 |     131 |     107 |     232 |     233 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
138 |     123 |     233 |     107 |     232 |     130 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
139 |     123 |     130 |     107 |     143 |     144 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
140 |     123 |     144 |     107 |     147 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
141 |     123 |     148 |     107 |     151 |     152 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
142 |     123 |     152 |     107 |     157 |     158 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
143 |     123 |     158 |     107 |     163 |     164 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
144 |     123 |     164 |     107 |     174 |     175 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
145 |     123 |     174 |     107 |     169 |     181 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
146 |     123 |     181 |     107 |      39 |     124 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
147 |     123 |      39 |     124 |      40 |      41 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
148 |     123 |      41 |     124 |      73 |      74 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
149 |     123 |      74 |     124 |     126 |     127 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
150 |     123 |     127 |     124 |     128 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
151 |     123 |     128 |     124 |     140 |     141 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
152 |     123 |     141 |     124 |     139 |     124 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
153 |     123 |     124 |     107 |      78 |     197 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
154 |     123 |     197 |     107 |     177 |     184 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
155 |     123 |     184 |     107 |      75 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
156 |     123 |      77 |     107 |      78 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
157 |     123 |      78 |     107 |     107 |     108 |     109 |     110 |     111 |     112 |       1 |       0 |       0 |
158 |     123 |     107 |     178 |     217 |     218 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
